ec:62:60'–Š‚b’bŠ’²ŠÊb‚r‚Êb‚r’¢b‚r¢Êb’’r‚‚bª‚r‚‚bj‚r’’²bj‚r‚‚‚bj‚r‚‚‚bj‚rÊº¢j
I (531195) Mesh: Mesh level: 1, Connected nodes: 5
b0:b2:1c:44:11:18,2,12614,0.00,0.43,0.51,22.00,50.00,0.394,0.000,-0.000,-0.919
c8:2e:18:fb:25:d0,2,12615,0.24,0.41,0.14,22.00,50.00,0.900,0.000,-0.000,0.435
ec:62:60:b5:8a:90,2,3932,0.48,0.50,0.11,22.00,50.00,-0.237,0.000,0.000,0.971
ec:62:60:b7:8f:10,2,12620,0.09,0.32,0.00,22.00,50.00,-0.088,0.000,0.000,-0.996
b0:b2:1c:44:11:18,2,12615,0.11,0.48,0.53,22.00,50.00,0.518,0.000,-0.000,-0.855
c8:2e:18:fb:25:d0,2,12616,0.24,0.47,0.16,22.00,50.00,0.831,-0.000,0.000,0.556
ec:62:60:b5:8a:90,2,3933,0.42,0.50,0.12,22.00,50.00,-0.370,-0.000,0.000,0.929
ec:62:60:b7:8f:10,2,12621,0.07,0.21,0.47,22.00,50.00,0.050,0.000,-0.000,-0.999
b0:b2:1c:44:11:18,2,12616,0.12,0.48,0.46,22.00,50.00,0.631,-0.000,0.000,-0.776
c8:2e:18:fb:25:d0,2,12617,0.24,0.53,0.17,22.00,50.00,0.746,-0.000,-0.000,0.666
ec:62:60:b5:8a:90,2,3934,0.42,0.51,0.13,22.00,50.00,-0.495,-0.000,0.000,0.869
ec:62:60:b7:8f:10,2,12622,0.06,0.24,0.43,22.00,50.00,0.188,-0.000,0.000,-0.982
b0:b2:1c:44:11:18,2,12617,0.10,0.66,0.47,22.00,50.00,0.732,-0.000,-0.000,-0.681
c8:2e:18:fb:25:d0,2,12618,0.24,0.53,0.12,22.00,50.00,0.647,0.000,-0.000,0.763
ec:62:60:b5:8a:90,2,3935,0.44,0.46,0.13,22.00,50.00,-0.611,0.000,0.000,0.792
ec:62:60:b7:8f:10,2,12623,0.11,0.28,0.50,22.00,50.00,0.322,0.000,-0.000,-0.947
b0:b2:1c:44:11:18,2,12618,0.10,0.53,0.51,22.00,50.00,0.820,0.000,-0.000,-0.572
c8:2e:18:fb:25:d0,2,12619,0.22,0.67,0.20,22.00,50.00,0.535,-0.000,-0.000,0.845
ec:62:60:b5:8a:90,2,3936,0.52,0.51,0.18,22.00,50.00,-0.714,-0.000,0.000,0.700
ec:62:60:b7:8f:10,2,12624,0.11,0.23,0.00,22.00,50.00,0.450,0.000,0.000,-0.893
b0:b2:1c:44:11:18,2,12619,0.06,0.50,0.48,22.00,50.00,0.891,-0.000,-0.000,-0.454
c8:2e:18:fb:25:d0,2,12620,0.27,0.00,0.15,22.00,50.00,0.413,0.000,0.000,0.911
ec:62:60:b5:8a:90,2,3937,0.48,0.43,0.00,22.00,50.00,-0.805,-0.000,-0.000,0.594
ec:62:60:b7:8f:10,2,12625,0.08,0.35,0.42,22.00,50.00,0.570,0.000,-0.000,-0.822
b0:b2:1c:44:11:18,2,12620,0.11,0.67,0.50,22.00,50.00,0.946,0.000,0.000,-0.325
c8:2e:18:fb:25:d0,2,12621,0.23,0.49,0.17,22.00,50.00,0.283,0.000,-0.000,0.959
ec:62:60:b7:8f:10,2,12626,0.12,0.24,0.39,22.00,50.00,0.678,0.000,-0.000,-0.735
